marketplace,seller_id,order_id,order_line_id,sku,category,quantity,unit_price,gross_amount,commission_rate_expected,commission_charged,logistics_fee,campaign_discount,net_paid,order_date,payout_date,is_return,refund_amount,commission_refund
trendyol,1004,500188,500188-3,SKU-13,home,3,1298,3894,0.15,584.1,51,0,3258.9,2026-01-25,2026-02-01,0,0,0.0
hepsiburada,1008,500189,500189-3,SKU-59,electronics,3,1467,4401,0.15,660.15,41,0,3699.85,2026-01-01,2026-01-07,1,4401,660.15
trendyol,1009,500190,500190-3,SKU-35,home,3,1329,3987,0.15,608.05,43,0,3335.95,2026-02-08,2026-02-16,0,0,0.0
hepsiburada,1009,500191,500191-3,SKU-4,electronics,1,1526,1526,0.15,228.9,20,0,1277.1,2026-01-29,2026-02-03,1,1526,0.0
trendyol,1003,500192,500192-3,SKU-47,fashion,1,1765,1765,0.1,168.5,25,0,1571.5,2026-02-09,2026-02-14,0,0,0.0
trendyol,1007,500193,500193-1,SKU-97,electronics,3,1689,5067,0.2,1013.4,19,0,4034.6,2026-01-08,2026-01-12,0,0,0.0
trendyol,1008,500194,500194-3,SKU-66,home,2,1949,3898,0.2,771.6,35,0,3091.4,2026-01-10,2026-01-15,1,3898,0.0
trendyol,1003,500195,500195-3,SKU-17,fashion,1,882,882,0.1,88.2,55,0,738.8,2026-01-03,2026-01-13,0,0,0.0
trendyol,1004,500196,500196-1,SKU-36,home,2,406,812,0.2,162.4,54,0,595.6,2026-01-09,2026-01-16,1,812,0.0
trendyol,1010,500197,500197-2,SKU-93,home,1,1483,1483,0.2,296.6,12,50,1124.4,2026-01-26,2026-01-30,0,0,0.0
trendyol,1010,500198,500198-1,SKU-78,home,3,1301,3903,0.2,780.6,54,50,3018.4,2026-01-14,2026-01-22,0,0,0.0
hepsiburada,1004,500199,500199-3,SKU-60,cosmetics,3,331,993,0.1,99.3,29,0,864.7,2026-01-31,2026-02-08,0,0,0.0
trendyol,1004,500200,500200-2,SKU-97,cosmetics,2,223,446,0.15,66.9,23,0,356.1,2026-02-04,2026-02-07,0,0,0.0
hepsiburada,1003,500201,500201-1,SKU-64,home,1,561,561,0.15,76.15,32,100,352.85,2026-02-24,2026-03-03,0,0,0.0
hepsiburada,1001,500202,500202-2,SKU-95,electronics,3,935,2805,0.15,420.75,39,0,2345.25,2026-02-20,2026-03-02,1,2805,0.0
trendyol,1007,500203,500203-1,SKU-3,fashion,1,172,172,0.15,25.8,25,100,21.19999999999999,2026-02-08,2026-02-14,0,0,0.0
trendyol,1002,500204,500204-2,SKU-73,home,3,1436,4308,0.1,430.8,17,0,3860.2,2026-02-17,2026-02-21,1,4308,430.8
hepsiburada,1005,500205,500205-3,SKU-84,cosmetics,1,777,777,0.1,77.7,14,0,685.3,2026-01-23,2026-01-31,0,0,0.0
hepsiburada,1000,500206,500206-1,SKU-7,fashion,1,1368,1368,0.15,205.2,37,0,1125.8,2026-01-09,2026-01-17,0,0,0.0
hepsiburada,1006,500207,500207-2,SKU-90,electronics,2,1817,3634,0.1,363.4,38,0,3232.6,2026-01-01,2026-01-11,0,0,0.0
hepsiburada,1007,500208,500208-3,SKU-24,cosmetics,2,860,1720,0.15,258.0,18,0,1444.0,2026-01-20,2026-01-27,0,0,0.0
trendyol,1010,500209,500209-2,SKU-31,cosmetics,1,991,991,0.1,99.1,10,100,781.9,2026-02-22,2026-02-27,0,0,0.0
hepsiburada,1004,500210,500210-2,SKU-78,fashion,3,1083,3249,0.1,324.9,19,0,2905.1,2026-02-25,2026-03-04,1,3249,0.0
hepsiburada,1004,500211,500211-2,SKU-90,electronics,2,1169,2338,0.2,467.6,41,0,1829.4,2026-02-27,2026-03-07,1,2338,0.0
hepsiburada,1006,500212,500212-2,SKU-29,cosmetics,1,135,135,0.15,20.25,59,0,55.75,2026-01-16,2026-01-22,0,0,0.0
hepsiburada,1001,500213,500213-3,SKU-96,fashion,1,1801,1801,0.15,270.15,58,100,1372.85,2026-02-06,2026-02-13,0,0,0.0
hepsiburada,1009,500214,500214-2,SKU-63,electronics,2,479,958,0.1,95.8,46,0,816.2,2026-01-27,2026-02-01,0,0,0.0
hepsiburada,1006,500215,500215-3,SKU-41,cosmetics,2,1637,3274,0.1,327.4,40,0,2906.6,2026-01-10,2026-01-13,0,0,0.0
hepsiburada,1010,500216,500216-1,SKU-62,fashion,2,1695,3390,0.2,678.0,54,0,2658.0,2026-01-04,2026-01-13,0,0,0.0
trendyol,1005,500217,500217-2,SKU-78,electronics,3,994,2982,0.15,447.3,57,0,2477.7,2026-02-28,2026-03-07,0,0,0.0
trendyol,1002,500218,500218-2,SKU-59,home,1,726,726,0.1,64.6,54,100,507.4,2026-01-06,2026-01-16,1,726,72.6
hepsiburada,1006,500219,500219-3,SKU-4,fashion,2,256,512,0.1,61.2,26,0,424.8,2026-01-17,2026-01-23,0,0,0.0
hepsiburada,1004,500220,500220-3,SKU-25,home,1,271,271,0.15,32.65,60,0,178.35,2026-01-21,2026-01-31,0,0,0.0
hepsiburada,1003,500221,500221-1,SKU-16,cosmetics,3,1515,4545,0.2,901.0,40,100,3504.0,2026-02-26,2026-03-01,0,0,0.0
hepsiburada,1009,500222,500222-2,SKU-83,home,1,1071,1071,0.1,99.1,42,0,929.9,2026-01-28,2026-02-04,0,0,0.0
hepsiburada,1004,500223,500223-1,SKU-9,home,3,142,426,0.1,34.6,49,50,292.4,2026-01-09,2026-01-17,1,426,0.0
trendyol,1001,500224,500224-2,SKU-70,fashion,1,1142,1142,0.1,114.2,26,0,1001.8,2026-01-31,2026-02-06,0,0,0.0
trendyol,1006,500225,500225-1,SKU-98,fashion,1,1963,1963,0.1,196.3,46,0,1720.7,2026-01-12,2026-01-16,0,0,0.0
hepsiburada,1000,500226,500226-1,SKU-98,cosmetics,1,856,856,0.15,138.4,43,0,674.6,2026-02-01,2026-02-05,0,0,0.0
trendyol,1006,500227,500227-3,SKU-16,electronics,2,1236,2472,0.1,247.2,52,0,2172.8,2026-02-22,2026-03-01,0,0,0.0
hepsiburada,1002,500228,500228-1,SKU-54,cosmetics,1,1808,1808,0.2,361.6,32,100,1314.4,2026-02-13,2026-02-20,0,0,0.0
hepsiburada,1003,500229,500229-1,SKU-13,cosmetics,1,1311,1311,0.15,196.65,47,0,1067.35,2026-01-11,2026-01-16,0,0,0.0
trendyol,1010,500230,500230-1,SKU-59,home,2,1693,3386,0.15,507.9,14,100,2764.1,2026-01-04,2026-01-12,0,0,0.0
hepsiburada,1001,500231,500231-1,SKU-71,fashion,1,713,713,0.1,71.3,54,0,587.7,2026-01-03,2026-01-07,0,0,0.0
hepsiburada,1007,500232,500232-1,SKU-94,fashion,2,1207,2414,0.1,241.4,15,100,2057.6,2026-02-07,2026-02-13,1,2414,0.0
trendyol,1000,500233,500233-1,SKU-37,fashion,3,689,2067,0.2,413.4,22,100,1531.6,2026-02-01,2026-02-07,0,0,0.0
trendyol,1001,500234,500234-1,SKU-75,home,1,265,265,0.1,36.5,60,0,168.5,2026-01-14,2026-01-23,0,0,0.0
hepsiburada,1009,500235,500235-2,SKU-62,fashion,1,184,184,0.2,28.799999999999997,12,100,43.19999999999999,2026-01-05,2026-01-14,0,0,0.0
trendyol,1005,500236,500236-2,SKU-9,fashion,3,525,1575,0.15,236.25,38,0,1300.75,2026-01-22,2026-01-31,0,0,0.0
hepsiburada,1005,500237,500237-1,SKU-53,electronics,3,1369,4107,0.15,616.05,27,100,3363.95,2026-01-03,2026-01-08,0,0,0.0
trendyol,1002,500238,500238-1,SKU-8,fashion,1,578,578,0.15,78.7,16,100,383.3,2026-01-26,2026-01-29,0,0,0.0
hepsiburada,1005,500239,500239-2,SKU-24,electronics,1,1162,1162,0.15,174.3,35,0,952.7,2026-01-21,2026-01-24,1,1162,0.0
hepsiburada,1006,500240,500240-2,SKU-40,electronics,2,1893,3786,0.1,378.6,11,0,3396.4,2026-01-23,2026-01-29,1,3786,0.0
trendyol,1010,500241,500241-2,SKU-3,cosmetics,1,977,977,0.1,97.7,50,50,779.3,2026-01-20,2026-01-28,0,0,0.0
trendyol,1006,500242,500242-1,SKU-36,cosmetics,1,1041,1041,0.1,104.1,24,50,862.9,2026-01-19,2026-01-24,1,1041,0.0
hepsiburada,1003,500243,500243-3,SKU-49,cosmetics,2,798,1596,0.15,239.4,12,0,1344.6,2026-02-15,2026-02-19,0,0,0.0
hepsiburada,1010,500244,500244-2,SKU-84,home,3,1586,4758,0.1,485.8,49,50,4173.2,2026-02-22,2026-03-01,1,4758,475.8
hepsiburada,1004,500245,500245-2,SKU-19,electronics,1,1893,1893,0.15,283.95,50,0,1559.05,2026-01-02,2026-01-06,0,0,0.0
hepsiburada,1006,500246,500246-3,SKU-69,cosmetics,1,1030,1030,0.2,198.0,21,0,811.0,2026-02-05,2026-02-15,0,0,0.0
trendyol,1002,500247,500247-2,SKU-49,electronics,1,1956,1956,0.1,195.6,52,0,1708.4,2026-02-27,2026-03-09,1,1956,0.0
hepsiburada,1002,500248,500248-2,SKU-58,home,2,1147,2294,0.1,229.4,13,0,2051.6,2026-01-08,2026-01-13,0,0,0.0
trendyol,1001,500249,500249-1,SKU-34,electronics,2,1563,3126,0.15,468.9,53,50,2554.1,2026-01-19,2026-01-27,0,0,0.0
trendyol,1003,500250,500250-3,SKU-28,cosmetics,2,1715,3430,0.1,343.0,43,100,2944.0,2026-02-07,2026-02-17,0,0,0.0
trendyol,1003,500251,500251-3,SKU-33,electronics,1,445,445,0.2,89.0,21,0,335.0,2026-02-07,2026-02-10,0,0,0.0
trendyol,1004,500252,500252-1,SKU-11,cosmetics,1,1115,1115,0.2,233.0,18,50,814.0,2026-02-22,2026-02-25,1,1115,0.0
trendyol,1010,500253,500253-3,SKU-20,cosmetics,1,677,677,0.2,145.4,18,0,513.6,2026-02-21,2026-02-24,1,677,135.4
trendyol,1009,500254,500254-3,SKU-48,fashion,1,702,702,0.2,150.4,50,100,401.6,2026-02-20,2026-02-23,0,0,0.0
hepsiburada,1002,500255,500255-2,SKU-37,fashion,1,187,187,0.15,28.05,23,0,135.95,2026-02-11,2026-02-20,0,0,0.0
trendyol,1000,500256,500256-3,SKU-70,electronics,3,1271,3813,0.1,391.3,28,0,3393.7,2026-01-12,2026-01-19,0,0,0.0
hepsiburada,1008,500257,500257-2,SKU-2,electronics,3,1151,3453,0.1,355.3,30,0,3067.7,2026-02-28,2026-03-05,1,3453,345.3
trendyol,1009,500258,500258-1,SKU-57,electronics,1,1269,1269,0.1,136.9,34,50,1048.1,2026-01-08,2026-01-14,0,0,0.0
hepsiburada,1003,500259,500259-1,SKU-20,electronics,2,941,1882,0.15,282.3,35,0,1564.7,2026-01-03,2026-01-11,0,0,0.0
hepsiburada,1007,500260,500260-1,SKU-47,home,3,1505,4515,0.15,677.25,39,50,3748.75,2026-02-01,2026-02-09,0,0,0.0
hepsiburada,1008,500261,500261-3,SKU-9,home,3,1600,4800,0.2,952.0,21,0,3827.0,2026-02-07,2026-02-11,0,0,0.0
trendyol,1008,500262,500262-2,SKU-73,cosmetics,2,1195,2390,0.15,350.5,14,100,1925.5,2026-02-14,2026-02-23,1,2390,358.5
trendyol,1010,500263,500263-3,SKU-81,electronics,1,1320,1320,0.1,132.0,50,100,1038.0,2026-02-24,2026-03-03,1,1320,132.0
hepsiburada,1000,500264,500264-2,SKU-75,fashion,2,1046,2092,0.2,410.4,20,0,1661.6,2026-01-16,2026-01-21,1,2092,418.4
hepsiburada,1006,500265,500265-3,SKU-63,cosmetics,2,616,1232,0.1,123.2,14,0,1094.8,2026-01-30,2026-02-06,1,1232,0.0
hepsiburada,1000,500266,500266-1,SKU-100,home,2,476,952,0.1,95.2,18,100,738.8,2026-01-05,2026-01-10,0,0,0.0
trendyol,1000,500267,500267-2,SKU-39,electronics,3,1481,4443,0.1,454.3,18,100,3870.7,2026-02-16,2026-02-20,0,0,0.0
trendyol,1004,500268,500268-3,SKU-37,fashion,1,1956,1956,0.2,383.2,56,0,1516.8,2026-02-11,2026-02-20,0,0,0.0
hepsiburada,1009,500269,500269-1,SKU-11,home,1,1930,1930,0.2,378.0,60,0,1492.0,2026-01-14,2026-01-24,0,0,0.0
hepsiburada,1002,500270,500270-2,SKU-35,fashion,1,647,647,0.1,64.7,29,50,503.29999999999995,2026-01-06,2026-01-10,0,0,0.0
hepsiburada,1006,500271,500271-2,SKU-22,fashion,1,336,336,0.15,60.4,11,0,264.6,2026-02-24,2026-03-04,0,0,0.0
hepsiburada,1006,500272,500272-3,SKU-81,cosmetics,3,1168,3504,0.1,350.4,51,0,3102.6,2026-01-01,2026-01-09,1,3504,350.4
trendyol,1010,500273,500273-1,SKU-3,electronics,2,544,1088,0.1,108.8,54,100,825.2,2026-01-10,2026-01-16,0,0,0.0
hepsiburada,1007,500274,500274-1,SKU-32,cosmetics,1,1046,1046,0.1,104.6,22,0,919.4,2026-01-11,2026-01-15,1,1046,104.6
hepsiburada,1008,500275,500275-3,SKU-9,cosmetics,2,1661,3322,0.15,508.3,22,50,2741.7,2026-01-02,2026-01-05,0,0,0.0
hepsiburada,1010,500276,500276-1,SKU-15,cosmetics,2,344,688,0.1,60.8,42,0,585.2,2026-02-15,2026-02-18,0,0,0.0
hepsiburada,1000,500277,500277-3,SKU-75,fashion,2,1338,2676,0.1,267.6,33,100,2275.4,2026-01-19,2026-01-23,0,0,0.0
hepsiburada,1010,500278,500278-1,SKU-37,home,3,1023,3069,0.2,613.8,16,0,2439.2,2026-01-12,2026-01-15,0,0,0.0
hepsiburada,1004,500279,500279-3,SKU-19,home,3,776,2328,0.2,465.6,11,0,1851.4,2026-02-27,2026-03-04,1,2328,0.0
hepsiburada,1001,500280,500280-2,SKU-17,electronics,2,308,616,0.15,84.4,30,0,501.6,2026-02-07,2026-02-15,1,616,92.4
trendyol,1001,500281,500281-1,SKU-34,cosmetics,1,546,546,0.2,101.2,13,100,331.8,2026-02-21,2026-03-03,0,0,0.0
hepsiburada,1000,500282,500282-3,SKU-42,electronics,1,1173,1173,0.1,117.3,35,0,1020.7,2026-01-08,2026-01-11,1,1173,0.0
hepsiburada,1001,500283,500283-3,SKU-3,home,2,693,1386,0.2,277.2,26,50,1032.8,2026-02-23,2026-03-01,0,0,0.0
trendyol,1010,500284,500284-3,SKU-79,home,2,590,1180,0.1,118.0,35,50,977.0,2026-01-26,2026-02-01,0,0,0.0
trendyol,1003,500285,500285-2,SKU-11,electronics,2,1416,2832,0.1,275.2,12,0,2544.8,2026-02-24,2026-03-05,0,0,0.0
hepsiburada,1005,500286,500286-1,SKU-26,fashion,2,220,440,0.1,44.0,54,50,292.0,2026-02-28,2026-03-10,0,0,0.0
hepsiburada,1003,500287,500287-3,SKU-92,fashion,3,1525,4575,0.1,457.5,41,0,4076.5,2026-02-14,2026-02-23,0,0,0.0
trendyol,1007,500288,500288-3,SKU-38,cosmetics,3,1683,5049,0.15,767.35,20,0,4261.65,2026-02-01,2026-02-04,1,5049,757.35
trendyol,1006,500289,500289-2,SKU-40,home,3,455,1365,0.15,214.75,11,50,1089.25,2026-01-17,2026-01-20,0,0,0.0
trendyol,1007,500290,500290-3,SKU-34,electronics,3,1997,5991,0.2,1198.2,34,0,4758.8,2026-02-11,2026-02-18,1,5991,1198.2
trendyol,1000,500291,500291-1,SKU-55,cosmetics,2,1281,2562,0.15,384.3,21,50,2106.7,2026-01-22,2026-01-30,1,2562,0.0
trendyol,1010,500292,500292-1,SKU-92,home,3,1953,5859,0.2,1171.8,33,100,4554.2,2026-02-05,2026-02-10,0,0,0.0
trendyol,1006,500293,500293-1,SKU-28,home,2,724,1448,0.2,281.6,50,0,1116.4,2026-01-06,2026-01-10,0,0,0.0
hepsiburada,1002,500294,500294-1,SKU-53,cosmetics,2,908,1816,0.1,173.6,20,100,1522.4,2026-01-05,2026-01-08,0,0,0.0
hepsiburada,1009,500295,500295-2,SKU-74,electronics,2,1017,2034,0.2,406.8,58,50,1519.2,2026-01-30,2026-02-02,0,0,0.0
trendyol,1007,500296,500296-1,SKU-70,home,1,1365,1365,0.15,204.75,43,50,1067.25,2026-02-16,2026-02-24,0,0,0.0
hepsiburada,1003,500297,500297-3,SKU-30,home,1,584,584,0.1,68.4,27,0,488.6,2026-02-05,2026-02-09,0,0,0.0
trendyol,1004,500298,500298-2,SKU-75,home,2,1630,3260,0.15,489.0,26,100,2645.0,2026-01-28,2026-02-02,1,3260,489.0
hepsiburada,1005,500299,500299-3,SKU-80,electronics,3,1663,4989,0.2,997.8,31,100,3860.2,2026-01-21,2026-01-27,0,0,0.0
hepsiburada,1009,500300,500300-2,SKU-50,home,2,402,804,0.1,80.4,20,100,603.6,2026-02-10,2026-02-13,0,0,0.0
hepsiburada,1002,500301,500301-2,SKU-40,electronics,2,1046,2092,0.15,313.8,12,100,1666.2,2026-01-07,2026-01-10,0,0,0.0
hepsiburada,1000,500302,500302-2,SKU-72,electronics,2,288,576,0.2,115.2,18,0,442.8,2026-02-03,2026-02-08,0,0,0.0
hepsiburada,1009,500303,500303-1,SKU-18,cosmetics,2,1080,2160,0.2,442.0,15,100,1603.0,2026-02-09,2026-02-15,0,0,0.0
hepsiburada,1001,500304,500304-2,SKU-13,electronics,3,1417,4251,0.1,425.1,57,0,3768.9,2026-02-22,2026-03-04,1,4251,0.0
trendyol,1002,500305,500305-1,SKU-91,fashion,3,1186,3558,0.15,543.7,17,0,2997.3,2026-01-03,2026-01-06,0,0,0.0
trendyol,1005,500306,500306-3,SKU-29,cosmetics,1,1870,1870,0.15,280.5,51,0,1538.5,2026-01-20,2026-01-26,1,1870,280.5
hepsiburada,1001,500307,500307-2,SKU-58,home,1,169,169,0.1,16.9,54,0,98.1,2026-01-18,2026-01-21,0,0,0.0
hepsiburada,1005,500308,500308-2,SKU-25,electronics,3,340,1020,0.15,153.0,30,0,837.0,2026-02-20,2026-02-28,1,1020,0.0
trendyol,1000,500309,500309-1,SKU-37,cosmetics,1,584,584,0.1,68.4,25,100,390.6,2026-02-21,2026-02-24,0,0,0.0
trendyol,1004,500310,500310-2,SKU-32,electronics,2,278,556,0.2,111.2,14,0,430.8,2026-01-16,2026-01-25,1,556,111.2
hepsiburada,1007,500311,500311-1,SKU-41,electronics,2,163,326,0.2,65.2,47,100,113.80000000000001,2026-03-01,2026-03-07,0,0,0.0
hepsiburada,1001,500312,500312-2,SKU-89,fashion,2,1965,3930,0.2,786.0,41,0,3103.0,2026-02-22,2026-02-27,0,0,0.0
hepsiburada,1006,500313,500313-1,SKU-52,fashion,1,1332,1332,0.15,199.8,32,0,1100.2,2026-02-19,2026-02-23,0,0,0.0
trendyol,1009,500314,500314-3,SKU-26,cosmetics,3,1097,3291,0.1,329.1,31,50,2880.9,2026-01-27,2026-02-03,0,0,0.0
trendyol,1001,500315,500315-2,SKU-73,electronics,1,734,734,0.1,73.4,45,0,615.6,2026-01-03,2026-01-10,1,734,73.4
trendyol,1007,500316,500316-1,SKU-40,fashion,2,1006,2012,0.15,301.8,52,0,1658.2,2026-01-03,2026-01-10,0,0,0.0
trendyol,1002,500317,500317-3,SKU-5,cosmetics,1,1983,1983,0.1,190.3,30,0,1762.7,2026-02-25,2026-03-02,0,0,0.0
hepsiburada,1003,500318,500318-1,SKU-84,cosmetics,3,1788,5364,0.1,528.4,17,50,4768.6,2026-02-14,2026-02-20,0,0,0.0
trendyol,1002,500319,500319-2,SKU-59,electronics,2,411,822,0.1,82.2,24,0,715.8,2026-01-16,2026-01-25,0,0,0.0
hepsiburada,1000,500320,500320-2,SKU-98,home,2,967,1934,0.2,378.8,29,100,1426.2,2026-01-27,2026-02-03,1,1934,0.0
hepsiburada,1002,500321,500321-3,SKU-34,electronics,2,959,1918,0.1,201.8,43,0,1673.2,2026-01-03,2026-01-12,1,1918,0.0
trendyol,1000,500322,500322-1,SKU-2,fashion,2,988,1976,0.1,197.6,35,50,1693.4,2026-01-06,2026-01-12,0,0,0.0
trendyol,1005,500323,500323-1,SKU-75,home,1,1838,1838,0.2,367.6,38,50,1382.4,2026-01-28,2026-02-04,1,1838,367.6
hepsiburada,1002,500324,500324-3,SKU-77,cosmetics,1,1803,1803,0.15,270.45,57,100,1375.55,2026-01-09,2026-01-18,0,0,0.0
trendyol,1000,500325,500325-2,SKU-7,electronics,2,1703,3406,0.1,340.6,59,0,3006.4,2026-02-26,2026-03-01,0,0,0.0
hepsiburada,1008,500326,500326-2,SKU-89,home,3,561,1683,0.15,262.45,43,0,1377.55,2026-01-21,2026-01-24,1,1683,0.0
trendyol,1001,500327,500327-3,SKU-29,home,1,855,855,0.1,95.5,28,0,731.5,2026-02-15,2026-02-22,0,0,0.0
hepsiburada,1004,500328,500328-2,SKU-3,electronics,3,1289,3867,0.15,580.05,56,50,3180.95,2026-02-06,2026-02-14,0,0,0.0
hepsiburada,1001,500329,500329-1,SKU-18,cosmetics,1,454,454,0.2,100.8,51,100,202.2,2026-02-04,2026-02-09,0,0,0.0
hepsiburada,1002,500330,500330-2,SKU-81,electronics,1,824,824,0.2,164.8,39,50,570.2,2026-01-18,2026-01-22,0,0,0.0
trendyol,1007,500331,500331-3,SKU-59,fashion,3,1875,5625,0.15,853.75,28,0,4743.25,2026-02-09,2026-02-19,0,0,0.0
trendyol,1004,500332,500332-2,SKU-30,electronics,2,1511,3022,0.15,453.3,26,0,2542.7,2026-02-08,2026-02-12,0,0,0.0
hepsiburada,1009,500333,500333-1,SKU-75,electronics,2,1996,3992,0.2,798.4,40,0,3153.6,2026-02-03,2026-02-13,1,3992,0.0
trendyol,1007,500334,500334-3,SKU-100,home,2,379,758,0.1,75.8,32,0,650.2,2026-01-11,2026-01-15,0,0,0.0
hepsiburada,1006,500335,500335-1,SKU-78,home,1,1143,1143,0.2,228.6,43,0,871.4,2026-03-01,2026-03-08,0,0,0.0
trendyol,1006,500336,500336-2,SKU-2,electronics,1,1487,1487,0.15,215.05,37,50,1184.95,2026-03-02,2026-03-06,0,0,0.0
trendyol,1006,500337,500337-3,SKU-13,electronics,3,579,1737,0.1,173.7,53,0,1510.3,2026-02-12,2026-02-19,0,0,0.0
trendyol,1004,500338,500338-3,SKU-30,fashion,3,1118,3354,0.15,503.1,18,50,2782.9,2026-02-11,2026-02-16,0,0,0.0
trendyol,1001,500339,500339-2,SKU-36,electronics,3,657,1971,0.1,197.1,18,100,1655.9,2026-01-13,2026-01-19,1,1971,0.0
hepsiburada,1008,500340,500340-1,SKU-46,electronics,2,1357,2714,0.15,417.1,15,0,2281.9,2026-01-13,2026-01-20,1,2714,0.0
hepsiburada,1006,500341,500341-1,SKU-80,home,3,270,810,0.2,162.0,56,0,592.0,2026-03-01,2026-03-08,0,0,0.0
hepsiburada,1004,500342,500342-1,SKU-57,fashion,3,1396,4188,0.1,418.8,47,0,3722.2,2026-02-17,2026-02-20,0,0,0.0
trendyol,1004,500343,500343-2,SKU-46,electronics,1,320,320,0.2,56.0,48,50,166.0,2026-01-29,2026-02-06,0,0,0.0
hepsiburada,1005,500344,500344-1,SKU-5,cosmetics,2,975,1950,0.1,205.0,26,100,1619.0,2026-02-25,2026-03-07,0,0,0.0
hepsiburada,1004,500345,500345-1,SKU-12,home,2,525,1050,0.15,167.5,29,0,853.5,2026-02-25,2026-03-03,0,0,0.0
trendyol,1009,500346,500346-2,SKU-81,fashion,2,262,524,0.15,78.6,57,50,338.4,2026-01-03,2026-01-13,0,0,0.0
trendyol,1008,500347,500347-2,SKU-83,cosmetics,2,1475,2950,0.15,434.5,17,0,2498.5,2026-02-20,2026-02-25,1,2950,442.5
hepsiburada,1002,500348,500348-1,SKU-16,home,3,375,1125,0.1,104.5,52,0,968.5,2026-01-18,2026-01-28,0,0,0.0
trendyol,1002,500349,500349-2,SKU-64,home,2,1655,3310,0.2,654.0,50,50,2556.0,2026-02-12,2026-02-17,0,0,0.0
hepsiburada,1003,500350,500350-3,SKU-88,fashion,3,1853,5559,0.1,565.9,23,0,4970.1,2026-02-09,2026-02-19,0,0,0.0
hepsiburada,1006,500351,500351-2,SKU-77,fashion,3,386,1158,0.15,173.7,53,50,881.3,2026-02-14,2026-02-20,0,0,0.0
trendyol,1009,500352,500352-3,SKU-55,cosmetics,1,549,549,0.15,82.35,29,0,437.65,2026-02-09,2026-02-19,1,549,82.35
trendyol,1006,500353,500353-1,SKU-2,cosmetics,1,1650,1650,0.2,330.0,38,0,1282.0,2026-02-10,2026-02-16,0,0,0.0
trendyol,1003,500354,500354-2,SKU-13,cosmetics,3,1074,3222,0.2,636.4,40,0,2545.6,2026-02-07,2026-02-15,0,0,0.0
hepsiburada,1008,500355,500355-1,SKU-78,fashion,2,241,482,0.2,96.4,34,100,251.60000000000002,2026-01-18,2026-01-24,0,0,0.0
hepsiburada,1000,500356,500356-3,SKU-100,home,3,373,1119,0.2,223.8,24,0,871.2,2026-01-05,2026-01-11,0,0,0.0
hepsiburada,1010,500357,500357-1,SKU-29,fashion,3,1374,4122,0.1,404.2,52,100,3565.8,2026-01-29,2026-02-03,0,0,0.0
hepsiburada,1003,500358,500358-1,SKU-12,home,3,1253,3759,0.15,563.85,18,50,3127.15,2026-02-08,2026-02-14,0,0,0.0
trendyol,1002,500359,500359-2,SKU-6,cosmetics,2,535,1070,0.2,214.0,43,0,813.0,2026-01-14,2026-01-18,0,0,0.0
hepsiburada,1010,500360,500360-3,SKU-90,cosmetics,1,1949,1949,0.1,186.9,27,50,1685.1,2026-01-20,2026-01-27,0,0,0.0
hepsiburada,1001,500361,500361-1,SKU-62,cosmetics,3,729,2187,0.15,320.05,49,100,1717.95,2026-02-06,2026-02-11,0,0,0.0
hepsiburada,1002,500362,500362-1,SKU-1,electronics,1,752,752,0.15,112.8,27,0,612.2,2026-01-12,2026-01-21,0,0,0.0
trendyol,1010,500363,500363-3,SKU-48,fashion,2,1150,2300,0.2,452.0,38,0,1810.0,2026-01-13,2026-01-22,0,0,0.0
hepsiburada,1005,500364,500364-3,SKU-84,fashion,3,1326,3978,0.1,397.8,13,0,3567.2,2026-02-28,2026-03-07,0,0,0.0
trendyol,1006,500365,500365-2,SKU-51,electronics,1,572,572,0.15,85.8,24,100,362.2,2026-02-08,2026-02-17,0,0,0.0
trendyol,1002,500366,500366-2,SKU-10,home,2,485,970,0.2,186.0,32,0,752.0,2026-01-16,2026-01-21,0,0,0.0
trendyol,1006,500367,500367-3,SKU-1,fashion,1,1357,1357,0.2,271.4,39,100,946.5999999999999,2026-01-13,2026-01-18,0,0,0.0
trendyol,1010,500368,500368-1,SKU-71,electronics,2,453,906,0.15,135.9,30,0,740.1,2026-01-04,2026-01-12,1,906,0.0
hepsiburada,1006,500369,500369-3,SKU-40,fashion,1,1723,1723,0.15,258.45,39,0,1425.55,2026-01-30,2026-02-04,0,0,0.0
trendyol,1005,500370,500370-2,SKU-34,electronics,3,687,2061,0.15,309.15,36,100,1615.85,2026-01-01,2026-01-06,0,0,0.0
hepsiburada,1010,500371,500371-1,SKU-4,electronics,3,165,495,0.1,49.5,29,50,366.5,2026-01-18,2026-01-26,0,0,0.0
trendyol,1006,500372,500372-2,SKU-81,fashion,2,100,200,0.15,30.0,20,50,100.0,2026-01-09,2026-01-16,1,200,30.0
hepsiburada,1000,500373,500373-1,SKU-54,home,3,766,2298,0.2,459.6,25,50,1763.4,2026-02-22,2026-02-27,0,0,0.0
hepsiburada,1008,500374,500374-1,SKU-87,cosmetics,2,172,344,0.1,26.4,24,0,293.6,2026-01-16,2026-01-23,1,344,0.0
hepsiburada,1005,500375,500375-2,SKU-70,home,1,1726,1726,0.2,337.2,13,100,1275.8,2026-02-12,2026-02-19,0,0,0.0
hepsiburada,1003,500376,500376-2,SKU-63,home,3,984,2952,0.1,305.2,12,0,2634.8,2026-01-26,2026-02-05,0,0,0.0
